Index,Label,Trait,Starting_Character_Position,Ending_character_Postion
0, s1,BODY_SIZE,0,4
1,"Western
Channel",DISTRIBUTION_DESCRIPTOR,1541,1556
2,"Natural
Environmental Research Council",DISTRIBUTION_DESCRIPTOR,1585,1623
3,Environment,DISTRIBUTION_DESCRIPTOR,1708,1719
4,sediment,DISTRIBUTION_DESCRIPTOR,2676,2684
5,benthic,DISTRIBUTION_DESCRIPTOR,2812,2819
6,"benthic
",DISTRIBUTION_DESCRIPTOR,2938,2946
7,northwest European continental shelf,DISTRIBUTION_DESCRIPTOR,2976,3012
8,soft-sediment,DISTRIBUTION_DESCRIPTOR,3605,3618
9,marine infaunal,DISTRIBUTION_DESCRIPTOR,4631,4646
10,benthic sedimentary,DISTRIBUTION_DESCRIPTOR,4754,4773
11,soft sediments,DISTRIBUTION_DESCRIPTOR,4802,4816
12,sediment,DISTRIBUTION_DESCRIPTOR,4862,4870
13,sediment,DISTRIBUTION_DESCRIPTOR,5261,5269
14,benthic,DISTRIBUTION_DESCRIPTOR,6597,6604
15,terrestrial,DISTRIBUTION_DESCRIPTOR,6858,6869
16,marine habitats,DISTRIBUTION_DESCRIPTOR,6895,6910
17,sediment,DISTRIBUTION_DESCRIPTOR,7541,7549
18,benthic,DISTRIBUTION_DESCRIPTOR,7731,7738
19,sediment,DISTRIBUTION_DESCRIPTOR,8212,8220
20,hard substrates,DISTRIBUTION_DESCRIPTOR,8277,8292
21,Sediment,DISTRIBUTION_DESCRIPTOR,8312,8320
22,North Sea,DISTRIBUTION_DESCRIPTOR,8808,8817
23,benthic research community,DISTRIBUTION_DESCRIPTOR,9356,9382
24,North Sea,DISTRIBUTION_DESCRIPTOR,9520,9529
25,Sea,DISTRIBUTION_DESCRIPTOR,9613,9616
26,"northwest European
marine",DISTRIBUTION_DESCRIPTOR,9746,9771
27,North Atlantic,DISTRIBUTION_DESCRIPTOR,9858,9872
28,infauna,DISTRIBUTION_DESCRIPTOR,9925,9932
29,northwest European waters,DISTRIBUTION_DESCRIPTOR,10006,10031
30,sediment–,DISTRIBUTION_DESCRIPTOR,10356,10365
31, Ai,BODY_SIZE,10500,10504
32, Mi,BODY_SIZE,10505,10509
33, Ri,BODY_SIZE,10510,10514
34,northwest European waters,DISTRIBUTION_DESCRIPTOR,11077,11102
35,"sea
benthos",DISTRIBUTION_DESCRIPTOR,11368,11379
36,Sea,DISTRIBUTION_DESCRIPTOR,11490,11493
37,body size,BODY_SIZE,13248,13257
38,"ocean
",DISTRIBUTION_DESCRIPTOR,13888,13894
39,sediment,DISTRIBUTION_DESCRIPTOR,13995,14003
40,habitat,DISTRIBUTION_DESCRIPTOR,14537,14544
41,marine,DISTRIBUTION_DESCRIPTOR,14640,14646
42,body size,BODY_SIZE,14809,14818
43,body size,BODY_SIZE,15091,15100
44,sediment,DISTRIBUTION_DESCRIPTOR,15950,15958
45,Marine,DISTRIBUTION_DESCRIPTOR,37587,37593
46,Marine,DISTRIBUTION_DESCRIPTOR,41722,41728
47,Marine,DISTRIBUTION_DESCRIPTOR,62217,62223
48,tubes,DISTRIBUTION_DESCRIPTOR,106556,106561
49,sediment matrix,DISTRIBUTION_DESCRIPTOR,106637,106652
50,epifauna,DISTRIBUTION_DESCRIPTOR,106726,106734
51,upward and downward conveyors,DISTRIBUTION_DESCRIPTOR,106769,106798
52,"upward and
",DISTRIBUTION_DESCRIPTOR,106936,106947
53,downward conveyors,DISTRIBUTION_DESCRIPTOR,106947,106965
54,epifauna,DISTRIBUTION_DESCRIPTOR,107001,107009
55,juveniles,LIFE_STAGE,107145,107154
56,adults,LIFE_STAGE,107159,107165
57,temperate coast,DISTRIBUTION_DESCRIPTOR,109793,109808
58,shelf benthic environments,DISTRIBUTION_DESCRIPTOR,109813,109839
59,North Atlantic,DISTRIBUTION_DESCRIPTOR,109847,109861
60,"North
Sea",DISTRIBUTION_DESCRIPTOR,111199,111208
61,Sea,DISTRIBUTION_DESCRIPTOR,111300,111303
62,Western Channel Observatory,DISTRIBUTION_DESCRIPTOR,111341,111368
63,"Natural Environmental Research
",DISTRIBUTION_DESCRIPTOR,111385,111416
64,Environment,DISTRIBUTION_DESCRIPTOR,111508,111519
65,marine,DISTRIBUTION_DESCRIPTOR,112274,112280
66,benthic nitrogen cycling,DISTRIBUTION_DESCRIPTOR,112465,112489
67,tropical forest,DISTRIBUTION_DESCRIPTOR,113275,113290
68,freshwater,DISTRIBUTION_DESCRIPTOR,114329,114339
69,marine sediments,DISTRIBUTION_DESCRIPTOR,114344,114360
70,petroleum hydrocarbons,DISTRIBUTION_DESCRIPTOR,114557,114579
71,marine sediments,DISTRIBUTION_DESCRIPTOR,114583,114599
72,benthic nitrogen cycling,DISTRIBUTION_DESCRIPTOR,114743,114767
73,ocean acidification,DISTRIBUTION_DESCRIPTOR,114869,114888
74,Habitat,DISTRIBUTION_DESCRIPTOR,115067,115074
75,marine ecosystems,DISTRIBUTION_DESCRIPTOR,115300,115317
76,climate change,DISTRIBUTION_DESCRIPTOR,115397,115411
77,world’s marine ecosystems,DISTRIBUTION_DESCRIPTOR,115419,115444
78,surface sediments,DISTRIBUTION_DESCRIPTOR,115564,115581
79,Baltic Sea,DISTRIBUTION_DESCRIPTOR,115589,115599
80,benthic fauna,DISTRIBUTION_DESCRIPTOR,115620,115633
81,marine sediments,DISTRIBUTION_DESCRIPTOR,115783,115799
82,intertidal sandflats,DISTRIBUTION_DESCRIPTOR,116023,116043
83,estuaries,DISTRIBUTION_DESCRIPTOR,116209,116218
84,coastal seas,DISTRIBUTION_DESCRIPTOR,116223,116235
85,soft-bottom,DISTRIBUTION_DESCRIPTOR,116345,116356
86,marine and freshwater,DISTRIBUTION_DESCRIPTOR,117128,117149
87,benthic habitats,DISTRIBUTION_DESCRIPTOR,117150,117166
88,Sediment,DISTRIBUTION_DESCRIPTOR,117289,117297
89,temperate shelf sea,DISTRIBUTION_DESCRIPTOR,117950,117969
90,marine sediments,DISTRIBUTION_DESCRIPTOR,118135,118151
91,infaunal,DISTRIBUTION_DESCRIPTOR,118317,118325
92,sediment,DISTRIBUTION_DESCRIPTOR,118351,118359
93,bottom trawling,DISTRIBUTION_DESCRIPTOR,118495,118510
94,benthic biomass,DISTRIBUTION_DESCRIPTOR,118526,118541
95,habitats,DISTRIBUTION_DESCRIPTOR,118584,118592
96,benthic ecosystem,DISTRIBUTION_DESCRIPTOR,118782,118799
97,muddy sea floor,DISTRIBUTION_DESCRIPTOR,118899,118914
98,lowland river,DISTRIBUTION_DESCRIPTOR,119179,119192
99,Sediment,DISTRIBUTION_DESCRIPTOR,119835,119843
100,benthic,DISTRIBUTION_DESCRIPTOR,119890,119897
101,marine benthos,DISTRIBUTION_DESCRIPTOR,120167,120181
102,benthic ecosystem,DISTRIBUTION_DESCRIPTOR,120624,120641
103,"marine
sediments",DISTRIBUTION_DESCRIPTOR,121168,121184
104,infauna,DISTRIBUTION_DESCRIPTOR,121289,121296
105,north-eastern Irish Sea,DISTRIBUTION_DESCRIPTOR,121313,121336
106,marine soft sediment,DISTRIBUTION_DESCRIPTOR,121530,121550
107,infaunal,DISTRIBUTION_DESCRIPTOR,121739,121747
108,marine sediments,DISTRIBUTION_DESCRIPTOR,121760,121776
109,fauna,DISTRIBUTION_DESCRIPTOR,122106,122111
110,"benthic
",DISTRIBUTION_DESCRIPTOR,122531,122539
111,Marine Strategy,DISTRIBUTION_DESCRIPTOR,122603,122618
112,"soft-sediment benthic
habitats",DISTRIBUTION_DESCRIPTOR,122807,122837
113,benthic,DISTRIBUTION_DESCRIPTOR,123014,123021
114,open exchange regions,DISTRIBUTION_DESCRIPTOR,123216,123237
115,sediments,DISTRIBUTION_DESCRIPTOR,123251,123260
116,"marine
",DISTRIBUTION_DESCRIPTOR,123394,123401
117,coastal wetland ecosystem,DISTRIBUTION_DESCRIPTOR,123612,123637
